variantId,boards,rank,tcg,name,set,collectorNumber,tier,missingImage,nonStdCanvas,reachableViaCurrentOpaqueId,onDiskDims,packImageDims,qcVersion
297,tcg300,206,pokemon,M Gengar EX,Promotional Cards White Mega Gengar Campaign Gift For Purchasers of Eligible Products,079/XY-P,C_drift_nonstd,False,True,False,430x610,430x610,raw-front-v3
300,tcg300,213,pokemon,Zekrom,s8a-P: Promo Card Pack 25th Anniversary Edition,021/025,C_drift_nonstd,False,True,False,500x698,500x698,raw-front-v3
320,tcg300,216,pokemon,Pikachu,SV4a: Shiny Treasure ex,236/190,C_drift_nonstd,False,True,False,640x912,640x912,raw-front-v3
325,tcg300,210,pokemon,Reshiram,s8a-P: Promo Card Pack 25th Anniversary Edition,020/025,C_drift_nonstd,False,True,False,500x698,500x698,raw-front-v3
332,tcg300,217,pokemon,Pikachu V,S8b: VMAX Climax,222/184,C_drift_nonstd,False,True,False,716x1000,716x1000,raw-front-v3
336,tcg300,223,pokemon,Meowth,Start Deck Generations Special Battle Set,192/SV-P,C_drift_nonstd,False,True,False,430x610,430x610,raw-front-v3
344,tcg300,228,pokemon,Pikachu,S-P: Sword & Shield Promos,272/S-P,C_drift_nonstd,False,True,False,716x1000,716x1000,raw-front-v3
345,tcg300,227,pokemon,Pikachu VMAX,S8b: VMAX Climax,279/184,C_drift_nonstd,False,True,False,711x1000,711x1000,raw-front-v3
348,tcg300,222,pokemon,Carmine,SV6: Transformation Mask,130/101,C_drift_nonstd,False,True,False,640x905,640x905,raw-front-v3
349,tcg300,224,pokemon,Gardevoir EX,CP3: PokeKyun Collection,019/032,C_drift_nonstd,False,True,False,716x999,716x999,raw-front-v3
350,tcg300,229,pokemon,Shadow Rider Calyrex VMAX,S6K: Jet-Black Spirit,086/070,C_drift_nonstd,False,True,False,716x1000,716x1000,raw-front-v3
351,tcg300,230,pokemon,Shining Rayquaza,SM3+: Shining Legends,057/072,C_drift_nonstd,False,True,False,715x994,715x994,raw-front-v3
356,tcg300,235,pokemon,Roaring Moon ex,SV8a: Terastal Fest ex,218/187,C_drift_nonstd,False,True,False,600x838,600x838,raw-front-v3
